capacity_gwh,spread_eur_mwh,peak_price,trough_price,annual_profit_meur,avg_daily_cycles,peak_reduction_eur_mwh,floor_increase_eur_mwh,spread_decay_pct,re_saved_gwh,net_export_change_gwh
0,179.60599999999977,189.45599999999976,9.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,168.01067944174827,183.66207666116304,15.651397219414775,202.8421038267765,1.3155713703801917,5.79392333883672,5.801397219414776,6.455976169087623,691.8678011576109,-360.46655548417283
4,158.08619209477803,179.17199999999997,21.085807905221934,405.684207653553,1.3155713703801917,10.283999999999793,11.235807905221934,11.98167539237095,1128.035718998015,-720.9331109683457
6,148.70783728918815,175.93728814216706,27.229450852978925,608.5263114803292,1.315571370380192,13.518711857832699,17.379450852978927,17.20330206719801,1382.4224356709335,-1081.3996664525184
8,140.6858077493281,173.5059233388368,32.82011558950872,811.368415307106,1.3155713703801917,15.950076661162967,22.970115589508715,21.669761728824053,1521.3653748084707,-1441.8662219366913
10,133.27863059711058,172.7856166941844,39.506986097073835,1014.2105191338824,1.315571370380192,16.670383305815363,29.656986097073833,25.793887399579774,1586.0332597654915,-1802.3327774208633
12,132.09199765434644,172.4316766632977,40.33967900895127,1217.0526229606585,1.315571370380192,17.024323336702054,30.48967900895127,26.454574093100113,1617.309005207793,-2162.799332905037
14,136.68718533735728,173.68870228164025,37.001516944282976,1419.8947267874355,1.3155713703801917,15.767297718359515,27.151516944282974,23.896091813548846,1639.253045297217,-2523.2658883892077
15,139.69842504127664,175.03842504127664,35.34,1521.315778700824,1.315571370380192,14.417574958723122,25.490000000000002,22.219511017851957,1649.4086689915885,-2703.499166131296
